name,short_name,description
パイロット・ディクレアード・ゴール,PDG,"競技者は離陸前に自分で選択したゴールに向かってマーカーを投下する。【競う内容】投下したマーカーとターゲット中心からの距離（短い人が勝ち）"
ジャッジ・ディクレアード・ゴール,JDG,"競技者は競技本部が決めたターゲットにマーカーを投下する。【競う内容】投下したマーカーとターゲット中心からの距離（短い人が勝ち）"
ヘジテーション・ワルツ,HWZ,"競技者は競技本部が決めた複数のターゲットの中から一つを選んでマーカーを投下する【競う内容】投下したマーカーとターゲット中心からの距離（短い人が勝ち）"
フライ・イン,FIN,"競技者は自分で離陸地を探し、ゴールもしくはターゲットにマーカーを投下する。【競う内容】投下したマーカーとターゲット中心からの距離（短い人が勝ち）"
フライ・オン,FON,"競技者は飛行中に宣言したゴールに向かってマーカーを投下する。【競う内容】投下したマーカーとターゲット中心からの距離（短い人が勝ち）"
ゴードン・ベネット・メモリアル,GBM,"競技者は競技本部が決めたエリア内で可能なかぎり近くにマーカーを投下する。【競う内容】採点エリア内に投下したマーカーとターゲット中心からの距離（短い人が勝ち）"
ヘア・アンド・ハウンズ,HNH,"競技者はヘア気球を追跡し、ヘア気球が着陸した後に設置したターゲットにマーカーを投下する。【競う内容】投下したマーカーとターゲット中心からの距離（短い人が勝ち）"
ウォーターシップ・ダウン,WSD,"競技者はヘア気球の離陸地点へ向かって飛行し、ヘア気球が着陸した後に設置したターゲットにマーカーを投下する。【競う内容】投下したマーカーとターゲット中心からの距離（短い人が勝ち）"
アングル,ANG,競技者は定められた飛行方位から角度を可能な限り大きく変更する。【競う内容】2ヶ所にマーカーを投下し、その2つを結んだ角度と、定められた飛行方位（180°に近い人が勝ち）
エルボー,ELB,競技者はできる限り進む方向を変えるように飛行する。【競う内容】3ヶ所に投下したマーカーでできる、角度（0°に近い人が勝ち）
ランド・ラン,LRN,競技者はマーカーを3箇所に投下する。そのマーカーで出来る三角形の面積を最大にするよう飛行する。【競う内容】3ヶ所に投下したマーカーでできる、三角形の面積（広い人が勝ち）
カリキュレイテッド・レート・アプローチ・タスク,CRT,競技者は競技本部が決めたエリア内で可能な限りターゲットの近くにマーカーを投下する。エリアは時間により有効、無効になる。【競う内容】有効な時間内に採点エリアに投下したマーカーとターゲット中心からの距離（短い人が勝ち）
ミニマム・ディスタンス,MDT,競技者は一定時間飛行し、離陸後に設置されたターゲットにマーカーを投下する。【競う内容】投下したマーカーとターゲット中心からの距離（短い人が勝ち）
マキシマム・ディスタンス,XDI,競技者は決められたエリア内で、可能な限りマーカーを離陸地から遠ざけて投下する。【競う内容】採点エリア内に投下したマーカーから離陸地の距離（長い人が勝ち）
ミニマム・ディスタンス・ダブルドロップ,MDD,競技者は競技本部が決めた異なるエリア内で、可能な限り2つのマーカーを近づけて投下する。【競う内容】2つの採点エリア内に投下した、2つのマーカーの間の距離（短い人が勝ち）
マキシマム・ディスタンス・ダブルドロップ,XDD,競技者は決められた一つまたは複数のエリア内で可能な限り2つのマーカーを遠ざけて投下する。【競う内容】2つの採点エリア内に投下した、2つのマーカーの間の距離（長い人が勝ち）
マキシマム・ディスタンス・タイム,XDT,競技者は制限時間内で可能な限り離陸地から遠ざけて投下する。【競う内容】制限時間内で投下したマーカーから離陸地の距離（長い人が勝ち）
レース・トゥ・エリア,RTA,競技者は最短の時間で採点エリア内にマーカーを投下する。【競う内容】離陸から採点エリア内にマーカーを投下するまでの飛行時間（最短の人が勝ち）
ショーテスト・フライト,SFL,競技者は競技本部が決めたエリア内で可能な限り離陸地近くにマーカーを投下する。【競う内容】投下したマーカーと離陸地からの距離（短い人が勝ち）
3Dシェイプ・タスク,3DT,競技者は定められた三次元空間内で最長距離を飛行する。【競う内容】採点エリア内の飛行距離（最長の人が勝ち）
